model,PR_T0_coop,PR_T0_nash_dev,PR_T0_payoff,PR_T1_coop,PR_T1_nash_dev,PR_T1_payoff,CH_T0_coop,CH_T0_nash_dev,CH_T0_payoff,CH_T1_coop,CH_T1_nash_dev,CH_T1_payoff,ST_T0_coop,ST_T0_nash_dev,ST_T0_payoff,ST_T1_coop,ST_T1_nash_dev,ST_T1_payoff,dictator_T0_shared,dictator_T1_shared,beauty_T0_number,beauty_T0_levelk,beauty_T1_number,beauty_T1_levelk
gpt-4o-mini,0.3750,0.3750,8.0000,0.3125,0.3125,7.8000,0.0000,0.5000,-4.5000,0.4125,0.6000,-3.2750,0.5000,0.3750,4.5000,0.6750,0.2000,5.9000,75.0000,25.0000,33.0000,1,23.7750,1
claude-haiku,0.5000,0.5000,7.8750,0.2875,0.2875,7.4750,0.5000,0.5000,-2.5000,0.5875,0.5125,-1.9125,1.0000,0.2500,7.5000,0.6625,0.2125,5.9375,25.0000,25.0000,33.0000,1,25.3000,2
gemini-flash,0.0000,0.0000,8.5000,0.0750,0.0750,7.6500,0.5000,0.6250,-2.3750,0.4000,0.5250,-2.7250,1.0000,0.3750,6.2500,0.7125,0.2375,5.8625,25.0000,25.0000,33.0000,1,24.1750,2
deepseek-chat,0.0000,0.0000,8.0000,0.0375,0.0375,7.5000,0.0000,0.2500,-1.7500,0.1125,0.4750,-3.8500,0.0000,0.5000,1.5000,0.5000,0.3625,4.4875,25.0000,25.0000,30.5000,0,30.8500,1
llama-3.1-8b,0.5000,0.5000,7.8750,0.3000,0.3000,6.7500,0.0000,0.3750,-3.1250,0.2875,0.5250,-3.7000,1.0000,0.3750,6.2500,0.5000,0.5250,3.5500,25.0000,25.0000,46.5000,0,38.9750,1
grok,0.0000,0.0000,8.5000,0.1625,0.1625,7.3000,0.1250,0.5000,-3.2500,0.4000,0.4500,-2.8000,1.0000,0.2500,7.5000,0.6250,0.1500,5.5375,25.0000,25.0000,10.0000,2,26.0000,2
